,street,flat
1014,Wiltshire Dr,1014
1015,Southampton St,1015
1016,Smart St,1016
1017,Papworth Pl,1017
1018,Clay St,1018
1019,Kiama St,1019
1020,Talbot St,1020
1021,Fidge Ct,1021
1022,Jessie St,1022
1023,Bourke St,1023
1024,Aroona Ct,1024
1025,Fewster Rd,1025
1026,Brentwood St,1026
1027,David Dr,1027
1028,Yawla St,1028
1029,Dartford St,1029
1030,Jack Rd,1030
1031,Wave St,1031
1032,Military Rd,1032
1033,Naroo St,1033
1034,Lloyd St,1034
1035,McCrae Rd,1035
1036,Taylors Rd,1036
1037,Lorraine Cr,1037
1038,Bamfield Rd,1038
1039,MacFarlan St,1039
1040,Ulupna Rd,1040
1041,Cremorne St,1041
1042,Compton St,1042
1043,MacEdon Rd,1043
1044,Serpentine St,1044
1045,St David St,1045
1046,Salisbury Gr,1046
1047,Pembroke St,1047
1048,Parkhill Rd,1048
1049,Solway St,1049
1050,Taylor St,1050
1051,Jones St,1051
1052,Xavier Ct,1052
1053,Webb St,1053
1054,Tiuna Gr,1054
1055,Hillsyde Pde,1055
1056,Gatehouse Dr,1056
1057,Cardigan St,1057
1058,Wheeler St,1058
1059,Ridge Dr,1059
1060,Keith St,1060
1061,Dellfield Dr,1061
1062,Gatehouse Pl,1062
1063,Edwardes St,1063
1064,Rothwell St,1064
1065,Efficient St,1065
1066,Liardet St,1066
1067,Moorong St,1067
1068,Wilson Bvd,1068
1069,Stirling St,1069
1070,Bridport St,1070
1071,Colthur St,1071
1072,Coane St,1072
1073,St Georges Rd,1073
1074,Inga Ct,1074
1075,Martin Rd,1075
1076,Irilbarra Rd,1076
1077,Danks St,1077
1078,Dromana St,1078
1079,Abbotsford Gr,1079
1080,Volga St,1080
1081,Gadd St,1081
1082,Violet St,1082
1083,Renwick St,1083
1084,Ellesmere Pde,1084
1085,Alamein Rd,1085
1086,Eastgate St,1086
1087,Vincent Dr,1087
1088,Islington St,1088
1089,Raeburn St,1089
1090,Maple St,1090
1091,Hurtle St,1091
1092,Guildford Rd,1092
1093,MacKay St,1093
1094,Lewis St,1094
1095,Maddox Rd,1095
1096,Mernda Av,1096
1097,Egginton St,1097
1098,Hazel St,1098
1099,Portland St,1099
1100,Cavalier St,1100
1101,Saxon St,1101
1102,Paget St,1102
1103,Hardy St,1103
1104,Eglinton St,1104
1105,Parry Rd,1105
1106,Moray St,1106
1107,McDougall St,1107
1108,Rockley Rd,1108
1109,Banool Rd,1109
1110,Nelson St,1110
1111,Little Oxford St,1111
1112,McMahon Rd,1112
1113,Northumberland Rd,1113
1114,Athelstan Rd,1114
1115,Belford Rd,1115
1116,Norma St,1116
1117,Paxton St,1117
1118,New Rd,1118
1119,Columbia St,1119
1120,Duffy St,1120
1121,Thistle St,1121
1122,Odowd St,1122
1123,Austral Av,1123
1124,Bayview Rd,1124
1125,Heysen Dr,1125
1126,Fontein St,1126
1127,Malin St,1127
1128,Ardoch St,1128
1129,French Ct,1129
1130,Lyell St,1130
1131,Quarry Cct,1131
1132,Rosedale Rd,1132
1133,Rayment St,1133
1134,Bowmore St,1134
1135,Caroline Dr,1135
1136,Talmage St,1136
1137,Royena Rd,1137
1138,Forster St,1138
1139,Headley St,1139
1140,Tongue St,1140
1141,Eildon Dr,1141
1142,Haig St,1142
1143,Washington St,1143
1144,Surrey Rd,1144
1145,Holmhurst Ct,1145
1146,Couch St,1146
1147,Shields St,1147
1148,Benbow St,1148
1149,Leonard St,1149
1150,Parsons St,1150
1151,Harding St,1151
1152,Vanberg Rd,1152
1153,Marshall Rd,1153
1154,Bolingbroke St,1154
1155,Rhodes Pde,1155
1156,Kingston St,1156
1157,Wattlebird Ct,1157
1158,Elimatta Rd,1158
1159,Wyong St,1159
1160,Gowrie St,1160
1161,Westminster St,1161
1162,Durham Rd,1162
1163,Holly St,1163
1164,Brockhoff Dr,1164
1165,Glen Rd,1165
1166,Rosella St,1166
1167,Kenilworth St,1167
1168,Iris St,1168
1169,Ashworth St,1169
1170,Aintree Rd,1170
1171,Manuka St,1171
1172,Shuter St,1172
1173,Pixel Cct,1173
1174,Bindi St,1174
1175,Wallen St,1175
1176,Blackwood St,1176
1177,Prentice St,1177
1178,Dudley St,1178
1179,Cooke St,1179
1180,Metung St,1180
1181,Inkerman St,1181
1182,Kanooka Gr,1182
1183,Dally St,1183
1184,Wetherby Rd,1184
1185,McPherson St,1185
1186,Birk Ct,1186
1187,Lex Gr,1187
1188,Butler St,1188
1189,Whitby St,1189
1190,Denys St,1190
1191,Norwood Dr,1191
1192,Blanche St,1192
1193,Llaneast St,1193
1194,Warburton Rd,1194
1195,McLean St,1195
1196,Fairmount Rd,1196
1197,Doyle St,1197
1198,Forest St,1198
1199,Valley Pde,1199
1200,Scott Gr,1200
1201,Mirls St,1201
1202,Draper St,1202
1203,Kingsley Rd,1203
1204,Kalang Rd,1204
1205,Stephens St,1205
1206,Baker St,1206
1207,McPhail St,1207
1208,Viewbank Dr,1208
1209,Fenacre St,1209
1210,Walpole St,1210
1211,Challis St,1211
1212,Cruikshank St,1212
1213,Darebin Dr,1213
1214,Glengala Ct,1214
1215,Bayswater Rd,1215
1216,Walsh Av,1216
1217,Fyfe St,1217
1218,Fordham Rd,1218
1219,Busch St,1219
1220,Elm Gr,1220
1221,Cavanagh St,1221
1222,Ovata Cl,1222
1223,Alexandra Av,1223
1224,Furzer St,1224
1225,Turner St,1225
1226,Kawarren St,1226
1227,Johnston St,1227
1228,Rathmines Rd,1228
1229,Sutherland Rd,1229
1230,Spray St,1230
1231,Chomley St,1231
1232,Lorne St,1232
1233,Paloma St,1233
1234,Crawford St,1234
1235,Ryan St,1235
1236,Joffre Rd,1236
1237,Gnarwyn Rd,1237
1238,Howlett St,1238
1239,Dalny Rd,1239
1240,Bridge Rd,1240
1241,Lewisham Rd,1241
1242,Longview Rd,1242
1243,Seisman Pl,1243
1244,Violet Gr,1244
1245,Earlsfield Rd,1245
1246,Daphne St,1246
1247,Shackell St,1247
1248,Essex Rd,1248
1249,Romano Av,1249
1250,Schofield St,1250
1251,Jerrold St,1251
1252,Ormond Bvd,1252
1253,Rennie St,1253
1254,Booyan Cr,1254
1255,Plant St,1255
1256,Harp Rd,1256
1257,Linton St,1257
1258,Little Kent St,1258
